POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,KRAS,KPRP,GRIK5,GRIK3
POLB,XRCC1,PARP1,RPA4,ENPP7
POLB,PCNA,POLD1,GINS4,DDR2
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,CDK14,GDE1
POLB,XRCC1,PARP1,RPA4,PTPRE
POLB,PCNA,EP300,TGS1,C4A
POLB,PCNA,KRAS,KPRP,CYTH4
POLB,PCNA,RHOF,TIAM1,BMP2,RGMA
POLB,PCNA,RHOF,TIAM1,STRA6
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,CHTF18,PSG11
POLB,XRCC1,PARP1,RPA4,ENDOD1,DPEP1
POLB,PCNA,POLD3,MELTF,ENTPD6
POLB,H2BC21,ZNF638,JPH4
POLB,PCNA,RHOF,TIAM1,VAMP7
POLB,PCNA,RHOF,TIAM1,CHRNB4
POLB,PCNA,PPP1CB,PAPOLA,ADH1C
POLB,H2BC8,ACTB,DCTN5,VPS35L
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,NOTCH2NLC,KCNS2
POLB,PCNA,PRDX6,SPR,TNFRSF25
POLB,PCNA,RHOF,TIAM1,CDH18
POLB,XRCC1,KLF6,NR0B2,SYT1
POLB,PCNA,RELA,ASB9,CACNA1E
POLB,XRCC1,POLI,RIGI,NOTCH4
POLB,PCNA,CDK4,PRKAA1,CPEB3
POLB,H2BC8,MAZ,DCC
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,MSH6,ANKRD17,TLR8
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,PPP1CB,PAPOLA,HAS3
POLB,PCNA,RHOF,TIAM1,LNPEP
POLB,H2BC21,AKT1,TLR2,LSP1
POLB,H2BC21,TMEM192,GNS,MBLAC2
POLB,PCNA,KPNA1,TPX2,MAP1B
POLB,H2BC8,TAF5L,ALOX15B
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,MYC,ELL,KIR3DL2
POLB,XRCC1,KLF10,TNS1,MPL
POLB,XRCC1,KLF6,NR0B2,DIP2A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,PCDHAC2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,CHRNE
POLB,XRCC1,PARP1,RPA4,NUCB2
POLB,XRCC1,POLI,RIGI,CHRDL1
POLB,PCNA,HOOK3,DCTN1,SLC9C1
POLB,H2BC8,ZNF629,RGS3
POLB,H2BC8,CHD1L,NT5E
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,TACR1
POLB,PCNA,CCND3,CDK16,CCNYL1
POLB,PCNA,SUMO1
POLB,PCNA,RHOF,TIAM1,PSG1
POLB,H2BC8,ZNF629,RGS3,HAS2
POLB,XRCC1,POLI,RIGI,MMP2
POLB,PCNA,CDK5
