ATP7B,ZBTB16,TXNIP,HRNR,PLXND1
ATP7B,ZBTB16,NR3C1,ZFX,SLC16A7
ATP7B,ZBTB16,MAP3K3,STUB1,TIE1
ATP7B,ZBTB16,RARA,MED1,PRSS8
ATP7B,ZBTB16,MX1,TRPC7
ATP7B,ZBTB16,HDAC4,RFXANK,TGM1
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ATOX1,TAGLN2,CFL1,ANKS4B
ATP7B,CLU,DLG4,DRD1
ATP7B,GOLGA1,CEP192,PRRC2A
ATP7B,ZBTB16,HDAC4,RFXANK,SLC18A2
ATP7B,ZBTB16,NR3C1,ZFX,RAB22A
ATP7B,copper(1+),SOD1,RNF112,CEMIP
ATP7B,ZBTB16,AR,MID1,SLC29A1
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,ZBTB16,RARA,MED1,SERPINC1
ATP7B,ZBTB16,MTDH,CTCF,FCER1G
ATP7B,NRG1,HLA-DPB1,HLA-DPA1
ATP7B,CLU,DLG4,DRD1
ATP7B,copper(1+),SOD1,RNF112,SURF4
ATP7B,ZBTB16,MAP3K3,STUB1,SLC13A5
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,NRG1,ERBB2,CDH2
ATP7B,copper(1+),SOD1,RNF112,LITAF
ATP7B,ZBTB16,HDAC4,RFXANK,ALPI
ATP7B,ZBTB16,HTT,HADHA,TSPAN2
ATP7B,ZBTB16,EZH2,FBXW11,JPT2
ATP7B,NRG1,RHOBTB3,RTN4R
ATP7B,ATOX1,ATP7A,OCLN,PRKCH
ATP7B,copper(1+),SOD1,RNF112,INSC
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,ZBTB16,SMAD3,PPARG,ANXA9
ATP7B,ZBTB16,SMAD3
ATP7B,copper(1+),SOD1,RNF112,B3GNT3
ATP7B,copper(1+),SOD1,RNF112,JMJD6
ATP7B,ZBTB16,NR3C1,ZFX,SERPINA12
