MT2A,SNCA,VAMP2,RHOG,LZTS2
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,HSPA1B,MATR3,MGAT5B,PLEKHM3
MT2A,SNCA,HSPA1B,MATR3,SERPINB2
MT2A,SNCA,VAMP2,RHOG,SLC43A1
MT2A,SNCA,SLC6A3,NEDD4
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,VAMP2,RHOG,SPNS2
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,VAMP2,RHOG,CTNNAL1
MT2A,SNCA,HSPA1B,MATR3,MUC16
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,EEF1A1,RPL13,ALPG
MT2A,SNCA,EEF1A1,RPL13,SDE2
MT2A,SNCA,PRKCE,SERPINB9,SLC9A3
MT2A,SNCA,HSPA1B,MATR3,COL26A1
MT2A,SNCA,HSPA1B,MATR3,MEP1A
MT2A,SNCA,SLC6A3,NEDD4,EFNB3
MT2A,SNCA,DNAAF2,SNAP91,CEACAM6
MT2A,SNCA,GABARAPL1,AHNAK2
MT2A,SNCA,PRKCD,H1-5,NOX4
MT2A,SNCA,GNB2,PFDN2,DRG1
MT2A,SNCA,PRKCE,SERPINB9,POU2F3
MT2A,SNCA,AKT1,VHL
MT2A,SNCA,SLC6A3,NEDD4
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,YWHAZ,HDAC9,CACNA1H
MT2A,SNCA,ABL1,NAA25,LRRC52
MT2A,SNCA,HSP90AA1,NR3C2,ITGA10
MT2A,SNCA,GNB2,PFDN2,FEZ1
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,HSPA1B,MATR3,SIGLEC9
MT2A,SNCA,GNB2,PFDN2,FPR2
MT2A,SNCA,VAMP2,RHOG,ATP2B2
MT2A,SNCA,VAMP2,RHOG,PTPRJ
MT2A,SNCA,SNAP25,SYT3
MT2A,SNCA,VAMP2,RHOG,BTN3A2
MT2A,SNCA,CHMP5,ZNF91,CCDC25
MT2A,SNCA,GNB2,PFDN2,ANKRD13D
MT2A,SNCA,VAMP2,RHOG,RTN3
MT2A,SNCA,LRRK2,ZC3H15,CDV3
MT2A,SNCA,USP9X,SMAD2,KCNC1
MT2A,SNCA,GNB2,PFDN2,RIC8A
MT2A,SNCA,EEF1A1,RPL13,APOB
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,H1-2,TTN,ORAI1
MT2A,SNCA,VAMP2,RHOG,REEP5,KLRF1
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,EEF1A1,RPL13,PCDHGB3
MT2A,SNCA,VAMP2,RHOG,SLITRK3
MT2A,SNCA,DCLK1,TIAM1,CLCN5
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,CALM3,TRPV6,CHRM3
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,GNB2,PFDN2,DCXR
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,PPP3CA,PARD3B,KLB
MT2A,SNCA,VAMP2,RHOG,PLEKHG5
MT2A,SNCA,SNAP25,SYT3
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,VAMP2,RHOG,TMED9,TMED1
MT2A,SNCA,HSPA1B,MATR3,FCER1G,CD300C
MT2A,SNCA,PRKCE,SERPINB9,FCER2
MT2A,SNCA,USP9X,SMAD2,SLC39A4
MT2A,SNCA,VAMP2,RHOG,GNAT1
MT2A,SNCA,PRKCD,H1-5,ITGA1
MT2A,SNCA,VAMP2,RHOG,SPRED2
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,YWHAQ,KSR1,STK16
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,RAB8A,EXOC8
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,DCLK1,TIAM1
MT2A,SNCA,GSK3B,SMARCA2,PALM2AKAP2
MT2A,SNCA,ER stress,QRICH1,RNF4,BCAM
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,GNB2,PFDN2,LIN7C
MT2A,SNCA,HSPA9,AQP12B,OR4X2
MT2A,SNCA,HNRNPH1,MSI2,LRFN2
MT2A,SNCA,APP,NOTCH4
MT2A,SNCA,LRRK2,ZC3H15,CNNM2
MT2A,SNCA,DYNC1H1,RPGRIP1L
MT2A,SNCA,HSP90AA1,NR3C2,CNNM3
MT2A,SNCA,LYN,PKP4
MT2A,SNCA,SNAP25,SYT3
MT2A,SNCA,FYN,SLC4A8
MT2A,SNCA,VAMP2,RHOG
MT2A,SNCA,HSPA1B,MATR3,MUC7
MT2A,SNCA,YWHAQ,KSR1,AQP7
MT2A,SNCA,HSP90AA1,NR3C2,IL17RC
MT2A,SNCA,VAMP2,RHOG,PSCA
MT2A,SNCA,SRC,CRMP1,ADGRL1
MT2A,SNCA,APP,NOTCH4,DPP4
MT2A,SNCA,EEF1A1,RPL13,SYTL2
MT2A,SNCA,PRKCA,AKAP5
MT2A,SNCA,AKT1,VHL,OR51E2
MT2A,SNCA,SNCAIP,KALRN,NUBPL
MT2A,SNCA,APLP1,APLP2
MT2A,SNCA,PRKCE,SERPINB9,GABRB3
MT2A,SNCA,EEF1A1,RPL13,CDH13
MT2A,SNCA,CHMP5,ZNF91,WNT5B
MT2A,SNCA,VAMP2,RHOG,RAP2C
MT2A,SNCA,CALM3,TRPV6
MT2A,SNCA,VAMP2,RHOG,ALCAM
